default,default response
"""You hesitated. Unless you think I actually bombed it and you're just trying to protect my feelings?""","""No, no, of course not! You always do well."""
"""No, no, of course not! You always do well.""","""I'm just teasing, Lucy. Come on, now, out with it. What's bothering you?"""
"I cracked a grin. ""I'm surprised you remember.""","He blushed. ""Yeah, I do. I'd rather forget the rest of that day, but seeing Adalyn was nice. That's another thing that'll never change. Friendship. Sure, you won't see your friends for a while, but they'll all be here next year. Besides, we still have the Weasleys nearby. And Fred and George and I have been talking. Apparently their mum wants us to spend more time with them this summer, assuming our parents are okay with it, and I'm going to do my best to convince them. She thinks we're a good influence, on the twins especially, and Mrs. Weasley wants their younger sister to have a friend when she starts at Hogwarts next year."""
"He blushed. ""Yeah, I do. I'd rather forget the rest of that day, but seeing Adalyn was nice. That's another thing that'll never change. Friendship. Sure, you won't see your friends for a while, but they'll all be here next year. Besides, we still have the Weasleys nearby. And Fred and George and I have been talking. Apparently their mum wants us to spend more time with them this summer, assuming our parents are okay with it, and I'm going to do my best to convince them. She thinks we're a good influence, on the twins especially, and Mrs. Weasley wants their younger sister to have a friend when she starts at Hogwarts next year.""","I smiled. ""That would be great."""
"""What is it?""","""James Potter found me that night and asked if I was confused about the properties of dittany, which is exactly what confused me."""
"""Just trying to hold onto this,"" I said, with complete earnestness.","""Good. Some changes will be sad, Lu, like Skye leaving, but some good changes are coming too. And some things will never change, like the fact I'll always be here for you and you'll always be here for me. Right?"""
"""Good. Some changes will be sad, Lu, like Skye leaving, but some good changes are coming too. And some things will never change, like the fact I'll always be here for you and you'll always be here for me. Right?""","""Right."""
"""Right.""","""Well... see you tomorrow, Harry."""
"We stopped on the threshold of the castle steps, taking in the June sunset. ""This is another thing that will never change.""","""What?"""
"""What?""","""Can I ask you something?"" I asked in a quiet voice before I could lose my nerve."
"""What are you doing?"" Neville asked as he crawled out from behind an armchair, holding Trevor tightly. ","Harry shoved the cloak behind his back as we all turned to face him. ""Nothing, Neville, nothing."""
"Harry shoved the cloak behind his back as we all turned to face him. ""Nothing, Neville, nothing.""","""You're going out again,"" he said slowly."
"""You're going out again,"" he said slowly.","Hermione's voice was little more than a nervous squeak. ""No, no, no, we're not. Why don't you go to bed, Neville?"""
"Neville ran to stand between us and the portrait hole. ""I won’t let you do it! I’ll — I’ll fight you!""","""Neville, get away from that hole and don’t be an idiot!"" Ron said."
"""Neville, get away from that hole and don’t be an idiot!"" Ron said.","""Don’t you call me an idiot! I don’t think you should be breaking any more rules! And you were the one who told me to stand up to people!"""
"""Don’t you call me an idiot! I don’t think you should be breaking any more rules! And you were the one who told me to stand up to people!""","""Yes, but not to us! Neville, you don’t know what you’re doing."" "
"""Why would you do that?"" I whispered in horror.","""What've you done to him?"" Harry asked."
"""What've you done to him?"" Harry asked.","""It's the full Body-Bind. Oh, Neville, I'm so sorry,"" Hermione sighed."
"""It's the full Body-Bind. Oh, Neville, I'm so sorry,"" Hermione sighed.","""We had to, Neville, no time to explain, we need to go."""
"""Who's there? I know you're there even if you're invisible. Now, are you ghoulie or ghostie or we student beastie? Should call Filch, I should, if someone's a-creeping around.""","Harry's voice was deeper than I had ever heard it. ""Peeves, the Bloody Baron has his own reasons for being invisible."""
"Harry's voice was deeper than I had ever heard it. ""Peeves, the Bloody Baron has his own reasons for being invisible.""","It worked. Peeves nearly tripped over himself in midair trying to appease the ""Bloody Baron"" with glasses beneath an invisibility cloak. Had the situation not been so grave, I would have found it hilarious. I couldn't wait to tell the twins, assuming I ever saw them again. But Harry wasn't done. "
"It worked. Peeves nearly tripped over himself in midair trying to appease the ""Bloody Baron"" with glasses beneath an invisibility cloak. Had the situation not been so grave, I would have found it hilarious. I couldn't wait to tell the twins, assuming I ever saw them again. But Harry wasn't done. ","""I have business here tonight, so stay away from here."""
"""That was bloody brilliant, Harry!"" Ron whispered. ","""Was that a pun?"" I asked, which earned soft snorts of laughter from the other three. But the laughter died as soon as we reached the door. "
"""What's at his feet?"" Hermione asked.","I squinted. ""Some type of instrument. That must be what Snape used to get past Fluffy. I'm glad he didn't hurt him."""
"""Well, only one way to prevent that,"" Harry whispered, drawing his Christmas gift from Hagrid and beginning to play some semblance of a tune. As soon as the massive dog was asleep, we shed the cloak.","""I'll take a turn,"" I offered, because I could see how red in the face Harry was growing from the nonstop playing. He passed it quickly, but even in the milliseconds of silence, the dog began to stir. But as soon as I puffed a note out, his eyes drooped shut again. I took a couple steps forward and reached the hand not holding the flute to one of the heads. The content animal didn't even open its eyes, but it pressed its head ever so slightly into my touch."
"""And dark!"" I added.","""So light a fire!"" Harry shouted."
"""So light a fire!"" Harry shouted.","""There's no wood!"" Hermione exclaimed. "
"""Down this way,"" Harry said, pointing down a stone passageway. We walked down, down, down. Harry led, whereas I brought up the rear. No one spoke until we heard the sound of thousands of wings flapping at once. ","""Do you hear that?"""
"""Do you hear that?""","""Is it a ghost?"""
"""Is it a ghost?""","""I think it's wings."""
"""I think it's wings.""","""Are you sure?"""
"I tried ""Alohomora,"" along with another trickier spell Fred and George had taught me works on some doors in Hogwarts that really, really weren't meant to be opened, but to no avail.","""Know any explosion spells, Lucy?"" Ron asked."
